Total Dataset Population (in billions),,,PART1-3: Investigating Population Size,,,,,,
7.786695108,,,,,,,,,
,,,,,,,,,
Estimated World Population (in billions),,,,,,,,,
7.821,,,,,,,,,
,,,,,,,,,
Total Dataset Urban Population (in billions),,,,,,,,,
4.375308463,,,,,,,,,
,,,,,,,,,
Estimated World Urban Population (in billions),,,,,,,,,
4.30155,,,,,,,,,
,,,,,,,,,
Urban Share in Dataset (%),,,,,,,,,
56.18954386,,,,,,,,,
,,,,,,,,,
Population Percentage Difference,,,,,,,,,
0.4395894719,,,,,,,,,
,,,,,,,,,
Urban Population Percentage Difference,,,,,,,,,
1.700119067,,,,,,,,,
,,,,,,,,,
Urban Share Percentage Difference,,,,,,,,,
2.139668561,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
145934.4531,,96.99254807,0.6219963766,2.38545555,NAN,,,,
164689.3906,,97.69796025,1.156425878,0.4626557002,0.6829581735,,,,
206139.5938,,77.60905338,4.979399343,11.79691148,5.614635794,,,,
212559.4063,,99.32085299,0.1265490039,0.5525980099,NAN,,,,
220892.3281,,90.14896508,3.822279525,4.413307574,1.61544782,,,,
273523.625,,92.41534961,0.8554746335,5.553871666,1.175304087,,,,
331002.6563,,99.88352668,0,0.1164733182,0,,,,
1380004.375,,90.48952503,4.983602562,3.963153945,0.5637184626,,,,
1463140.5,,94.26111059,0.8147213297,4.725451938,0.1987161441,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Part 5B: Grouping and Visualizing the Urban Access to Water on All Four Levels by Urban Population,,,,,,,,,
pop_u,pop_u (rounded),wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,,,,
0,0,NAN,NAN,NAN,NAN,,,,
46.20200348,46,NAN,NAN,NAN,NAN,,,,
78.50799561,79,100,0,0,0,,,,
9.114999771,9,NAN,NAN,NAN,NAN,,,,
89.96199799,90,NAN,NAN,NAN,NAN,,,,
40.08200073,40,NAN,NAN,NAN,NAN,,,,
100,100,100,0,0,0,,,,
100,100,100,0,0,0,,,,
0,0,NAN,NAN,NAN,NAN,,,,
64.01399994,64,100,0,0,0,,,,
75.49500275,75,NAN,NAN,NAN,NAN,,,,
80.98799896,81,99.63420199,0,0.3657980078,0,,,,
48.51499939,49,NAN,NAN,NAN,NAN,,,,
100,100,100,0,0,0,,,,
97.49900055,97,NAN,NAN,NAN,NAN,,,,
14.41600037,14,NAN,NAN,NAN,NAN,,,,
100,100,99.99927139,0,0.0007286105507,0,,,,
100,100,100,0,0,0,,,,
42.39799881,42,NAN,NAN,NAN,NAN,,,,
87.15299988,87,NAN,NAN,NAN,NAN,,,,
87.28200531,87,100,0,0,0,,,,
91.79799652,92,NAN,NAN,NAN,NAN,,,,
77.79399109,78,86.9,13.1,0,0,,,,
100,100,99.90314002,0,0.09685998294,0,,,,
87.91600037,88,100,0,0,0,,,,
52.89800262,53,NAN,NAN,NAN,NAN,,,,
95.93900299,96,NAN,NAN,NAN,NAN,,,,
23.09899902,23,99.60665819,0.143540536,0.2498012758,0,,,,
55.59399796,56,91.53117485,5.658666461,2.810158691,0,,,,
94.93800354,95,NAN,NAN,NAN,NAN,,,,
18.8409996,19,97.20582219,2.166718886,0.6274589237,0,,,,
17.88899994,18,92.10119,7.89881,0,0,,,,
74.35400391,74,79.5805429,20.4194571,0,0,,,,
45.75099945,46,NAN,NAN,NAN,NAN,,,,
61.97500229,62,NAN,NAN,NAN,NAN,,,,
71.51799774,72,NAN,NAN,NAN,NAN,,,,
31.19099998,31,NAN,NAN,NAN,NAN,,,,
85.81999969,86,NAN,NAN,NAN,NAN,,,,
25.52500153,26,99.5,0.5,0,0,,,,
93.897995,94,100,0,0,0,,,,
89.13999939,89,NAN,NAN,NAN,NAN,,,,
46.02500153,46,98.87896,1.12104,0,0,,,,
98.49899292,98,NAN,NAN,NAN,NAN,,,,
78.25000763,78,99.65,0,0.35,0,,,,
94.7440033,95,100,0,0,0,,,,
40.66899872,41,98.99798893,0,1.002011069,0,,,,
66.65200043,67,93.1,6.9,0,0,,,,
